# day   mean_magnitude      mean_magnitude_error
-9.5   0.356728198160506   0.314310798599792
-9   0.288887725553   0.3345746094313
-8.5   0.223355016297632   0.35127521350899
-8   0.149922434741945   0.125147998342577
-7.5   0.0942706783858344   0.114043243118256
-7   0.00109806854578014   0.0577901279611112
-6.5   -0.0308741600720758   0.0463178446118289
-6   -0.0584330150594275   0.0339283322504516
-5.5   -0.0780635002345551   0.0274089666724118
-5   -0.0884727084908916   0.0210833075154921
-4.5   -0.0976730437500418   0.0179549851336615
-4   -0.103434067653441   0.0157763061028634
-3.5   -0.10269596112363   0.0133619504596518
-3   -0.0961035816000347   0.0113963408122602
-2.5   -0.0876546355175457   0.00973627060706063
-2   -0.0733252823113161   0.00777971457105483
-1.5   -0.0579526819462053   0.00613431520864521
-1   -0.0400319584642454   0.0042776390123913
-0.5   -0.0206135715043652   0.0021107188762593
0   6.18421231346629e-08   2.50320916391369e-06
0.5   0.0205267629915661   0.00251739037505469
1   0.0412380788449432   0.00527336445319288
1.5   0.0622176413427302   0.00816896878958956
2   0.0830025776610673   0.0108748008190611
2.5   0.103788984893801   0.0144040626373397
3   0.124708062016061   0.0168693231600398
3.5   0.143094445090729   0.0195470201931391
4   0.163476747034703   0.0222603435565971
4.5   0.182049801180611   0.0241681350917595
5   0.199740853639634   0.0256127617787834
5.5   0.216615214999456   0.0283560737599947
6   0.232614607768971   0.0301476040699186
6.5   0.249101777605042   0.0327124556083219
7   0.262256989669273   0.0339262803648103
7.5   0.273612114869709   0.0347822183043138
8   0.283667374735967   0.0365747020000183
8.5   0.292345007103312   0.0360054737496666
9   0.297624291405719   0.0372346262526135
9.5   0.303921603187344   0.0364177910239713
10   0.306264937756871   0.0383235441646024
10.5   0.306752926867378   0.0356732306801704
11   0.308573071273297   0.0351036968044661
11.5   0.313777010992161   0.0365020133208034
12   0.30911376547622   0.0354684223190051
12.5   0.308834595202112   0.0352659092244372
13   0.304820222441169   0.0344138747394641
13.5   0.299405808127521   0.0331578506996179
14   0.294988927500551   0.0327857546534341
14.5   0.286179406793374   0.0331725261964006
15   0.278194044818534   0.0318646671873185
15.5   0.268083132865532   0.0295407664044382
16   0.257052229219964   0.0278236468096784
16.5   0.245345501798758   0.0275877991507295
17   0.234384493207208   0.0271810121327809
17.5   0.221851494291639   0.0277275443894313
18   0.210531795458861   0.0282782007076709
18.5   0.197811351360099   0.0294493034238093
19   0.188290357524831   0.0296418305923329
19.5   0.177770891956429   0.0299751299170666
20   0.168571687878885   0.0308036521561604
20.5   0.159166995733101   0.0323719087794637
21   0.149091042184209   0.0334782517449359
21.5   0.144336067637333   0.0332483875450742
22   0.137811405226952   0.0343938073665942
22.5   0.132637337850434   0.0342334051839444
23   0.130137836743825   0.0361199262671344
23.5   0.126209232456793   0.0379005550465364
24   0.126109537512328   0.0388430528339887
24.5   0.126551439510593   0.0405571356281505
25   0.13164332608493   0.0430027429006432
25.5   0.139217151967618   0.0451832727419613
26   0.14666672154554   0.046979583412049
26.5   0.161201471820879   0.0518332867684549
27   0.17196997883697   0.0542184926581554
27.5   0.187956621028923   0.0577404420155762
28   0.205045241013196   0.0599453856370663
28.5   0.226496271689477   0.0646847492273744
29   0.248386060900315   0.0678566936123396
29.5   0.277662996335175   0.0805886005896865
30   0.301792666453184   0.0841383288060704
30.5   0.331544958704455   0.0891427976554586
31   0.356353326718618   0.0947238099300031
31.5   0.386065879917272   0.111703154406834
32   0.414363409093973   0.111357686261277
32.5   0.4520426305294   0.115712165437355
33   0.48438850214838   0.117945424127637
33.5   0.531104770557262   0.128940044537914
34   0.565733169762347   0.133010887094222
34.5   0.602185606464258   0.137523980763099
35   0.635905835362068   0.138089411347355
35.5   0.665980181968415   0.137228859447957
36   0.698897561971646   0.143796988817172
36.5   0.728370349319314   0.141130851063469
37   0.761715547573843   0.146025268414836
37.5   0.783991499031065   0.142727462158995
38   0.815664775721742   0.148414720284987
38.5   0.844426482492832   0.144841299273894
39   0.867777256796601   0.140559130611609
39.5   0.892763994706639   0.146727755732349
40   0.912048513077752   0.147566843535155
40.5   0.936991863202382   0.141907236148257
41   0.955441790047791   0.141943012821893
41.5   0.922471770480972   0.138367758084904
42   0.946851826679706   0.139565396409116
42.5   0.960425344729609   0.135988331807868
43   0.981067947148644   0.132954804141071
43.5   0.967198191946935   0.15061816178819
44   0.987232855738359   0.148707517410745
44.5   1.00820891322569   0.150931343403091
45   1.02763258481226   0.148642117415104
45.5   1.05177845850766   0.160684741270439
46   1.07394946331919   0.151366959870958
46.5   1.10369826285487   0.152775795744123
47   1.12891774177507   0.149925473552909
47.5   1.1578896885717   0.152903500525218
48   1.17948672786952   0.14285469233803
48.5   1.20821338546285   0.14762014490091
49   1.23119906794577   0.144512788898304
49.5   1.23178699235116   0.16508850768552
50   1.26609731216889   0.166587342788302
50.5   1.29105834161063   0.165870782432673
51   1.32248877899826   0.17041505090278
51.5   1.45134988131056   0.152849834553157
52   1.48394598576419   0.149596673477429
52.5   1.51063617717423   0.146140208558493
53   1.53825395120801   0.160628203692419
53.5   1.55423263369394   0.151856710949802
54   1.57827056597707   0.161796563665574
54.5   1.59074536266003   0.162582980787286
55   1.61200392350922   0.164522393276448
55.5   1.62035856510808   0.159698785523877
56   1.62246332330113   0.167401111210917
56.5   1.62779691759929   0.167513593096315
57   1.63343868065331   0.164557799738067
57.5   1.63233184902521   0.177615299989676
58   1.64202840186511   0.187359715460217
58.5   1.6552865675972   0.181121366668064
59   1.65872341469363   0.201228870554525
59.5   1.65830041571207   0.281615131593475
