# day   mean_magnitude      std_dev_population
-9.5   0.356728198160506   0.184132134756504
-9   0.288887725553   0.19413877251501
-8.5   0.223355016297632   0.202144082721815
-8   0.149922434741945   0.112084342895264
-7.5   0.0942706783858344   0.10608036024016
-7   0.00109806854578014   0.10608036024016
-6.5   -0.0308741600720758   0.0880684122748499
-6   -0.0584330150594275   0.0660538092061374
-5.5   -0.0780635002345551   0.0500431887925284
-5   -0.0884727084908916   0.0340325683789193
-4.5   -0.0976730437500418   0.0260272581721147
-4   -0.103434067653441   0.0200232755170113
-3.5   -0.10269596112363   0.0160206204136091
-3   -0.0961035816000347   0.0140192928619079
-2.5   -0.0876546355175457   0.0120179653102068
-2   -0.0733252823113161   0.0100166377585057
-1.5   -0.0579526819462053   0.00801531020680454
-1   -0.0400319584642454   0.0060139826551034
-0.5   -0.0206135715043652   0.00401265510340227
0   6.18421231346629e-08   1e-05
0.5   0.0205267629915661   0.0060139826551034
1   0.0412380788449432   0.0140192928619079
1.5   0.0622176413427302   0.0220246030687125
2   0.0830025776610673   0.030029913275517
2.5   0.103788984893801   0.0380352234823216
3   0.124708062016061   0.0460405336891261
3.5   0.143094445090729   0.0560471714476318
4   0.163476747034703   0.0620511541027352
4.5   0.182049801180611   0.0680551367578386
5   0.199740853639634   0.074059119412942
5.5   0.216615214999456   0.0800631020680454
6   0.232614607768971   0.0860670847231488
6.5   0.249101777605042   0.0920710673782522
7   0.262256989669273   0.0960737224816544
7.5   0.273612114869709   0.0980750500333556
8   0.283667374735967   0.100076377585057
8.5   0.292345007103312   0.102077705136758
9   0.297624291405719   0.100076377585057
9.5   0.303921603187344   0.0960737224816544
10   0.306264937756871   0.0940723949299533
10.5   0.306752926867378   0.0880684122748499
11   0.308573071273297   0.0860670847231488
11.5   0.313777010992161   0.0860670847231488
12   0.30911376547622   0.0800631020680454
12.5   0.308834595202112   0.0800631020680454
13   0.304820222441169   0.0780617745163442
13.5   0.299405808127521   0.074059119412942
14   0.294988927500551   0.074059119412942
14.5   0.286179406793374   0.074059119412942
15   0.278194044818534   0.0680551367578386
15.5   0.268083132865532   0.0640524816544363
16   0.257052229219964   0.0580484989993329
16.5   0.245345501798758   0.0560471714476318
17   0.234384493207208   0.0560471714476318
17.5   0.221851494291639   0.060049826551034
18   0.210531795458861   0.0640524816544363
18.5   0.197811351360099   0.0700564643095397
19   0.188290357524831   0.074059119412942
19.5   0.177770891956429   0.0780617745163442
20   0.168571687878885   0.0820644296197465
20.5   0.159166995733101   0.0860670847231488
21   0.149091042184209   0.0880684122748499
21.5   0.144336067637333   0.0920710673782522
22   0.137811405226952   0.0940723949299533
22.5   0.132637337850434   0.0980750500333556
23   0.130137836743825   0.100076377585057
23.5   0.126209232456793   0.10608036024016
24   0.126109537512328   0.110083015343562
24.5   0.126551439510593   0.116086997998666
25   0.13164332608493   0.122090980653769
25.5   0.139217151967618   0.128094963308873
26   0.14666672154554   0.134098945963976
26.5   0.161201471820879   0.148108238825884
27   0.17196997883697   0.156113549032688
27.5   0.187956621028923   0.164118859239493
28   0.205045241013196   0.174125496997999
28.5   0.226496271689477   0.188134789859907
29   0.248386060900315   0.200142755170113
29.5   0.277662996335175   0.232163995997332
30   0.301792666453184   0.238167978652435
30.5   0.331544958704455   0.252177271514343
31   0.356353326718618   0.262183909272849
31.5   0.386065879917272   0.294205150100067
32   0.414363409093973   0.306213115410274
32.5   0.4520426305294   0.313217761841228
33   0.48438850214838   0.322223735823883
33.5   0.531104770557262   0.338234356237492
34   0.565733169762347   0.342237011340894
34.5   0.602185606464258   0.342237011340894
35   0.635905835362068   0.350242321547699
35.5   0.665980181968415   0.3522436490994
36   0.698897561971646   0.358247631754503
36.5   0.728370349319314   0.362250286857905
37   0.761715547573843   0.362250286857905
37.5   0.783991499031065   0.368254269513009
38   0.815664775721742   0.372256924616411
38.5   0.844426482492832   0.368254269513009
39   0.867777256796601   0.368254269513009
39.5   0.892763994706639   0.37025559706471
40   0.912048513077752   0.37025559706471
40.5   0.936991863202382   0.362250286857905
41   0.955441790047791   0.356246304202802
41.5   0.922471770480972   0.332230373582388
42   0.946851826679706   0.334231701134089
42.5   0.960425344729609   0.332230373582388
43   0.981067947148644   0.332230373582388
43.5   0.967198191946935   0.330229046030687
44   0.987232855738359   0.33523236490994
44.5   1.00820891322569   0.342237011340894
45   1.02763258481226   0.338234356237492
45.5   1.05177845850766   0.340235683789193
46   1.07394946331919   0.348240993995997
46.5   1.10369826285487   0.338234356237492
47   1.12891774177507   0.338234356237492
47.5   1.1578896885717   0.336233028685791
48   1.17948672786952   0.334231701134089
48.5   1.20821338546285   0.330229046030687
49   1.23119906794577   0.324225063375584
49.5   1.23178699235116   0.338234356237492
50   1.26609731216889   0.333231037358239
50.5   1.29105834161063   0.338234356237492
51   1.32248877899826   0.331229709806538
51.5   1.45134988131056   0.23016266844563
52   1.48394598576419   0.216153375583722
52.5   1.51063617717423   0.21215072048032
53   1.53825395120801   0.204145410273516
53.5   1.55423263369394   0.210149392928619
54   1.57827056597707   0.21215072048032
54.5   1.59074536266003   0.216153375583722
55   1.61200392350922   0.224158685790527
55.5   1.62035856510808   0.226160013342228
56   1.62246332330113   0.240169306204136
56.5   1.62779691759929   0.254178599066044
57   1.63343868065331   0.268187891927952
57.5   1.63233184902521   0.276193202134757
58   1.64202840186511   0.296206477651768
58.5   1.6552865675972   0.30020913275517
59   1.65872341469363   0.314218425617078
59.5   1.65830041571207   0.402276837891928
