# day   mean_magnitude      std_dev_population
-9.5   0.293855521205921   0.164118859239493
-9   0.212519953648472   0.136100273515677
-8.5   0.150752334012711   0.118088325550367
-8   0.0751151280880385   0.104079032688459
-7.5   0.0306168689360701   0.0860670847231488
-7   -0.00978667034610578   0.0700564643095397
-6.5   -0.0388697269066805   0.060049826551034
-6   -0.064508944659892   0.0540458438959306
-5.5   -0.0809615340974422   0.0480418612408272
-5   -0.0928030516766361   0.0460405336891261
-4.5   -0.0990930540968278   0.0420378785857238
-4   -0.10167315458654   0.0340325683789193
-3.5   -0.0991494567043487   0.0320312408272182
-3   -0.0915047336697675   0.0320312408272182
-2.5   -0.0815905935152744   0.0280285857238159
-2   -0.068674854638329   0.0240259306204136
-1.5   -0.053802186291587   0.0200232755170113
-1   -0.0371449364398565   0.0140192928619079
-0.5   -0.0190674101111125   0.00801531020680454
0   -2.93626097726084e-09   1e-05
0.5   0.019549184383549   0.00801531020680454
1   0.0393537652070473   0.0160206204136091
1.5   0.0590033830706048   0.0240259306204136
2   0.0785312433098762   0.0320312408272182
2.5   0.096702596395848   0.0400365510340227
3   0.114767025516011   0.0480418612408272
3.5   0.131463181137066   0.0560471714476318
4   0.146848675739093   0.0640524816544363
4.5   0.16067153161893   0.0720577918612408
5   0.173151300328475   0.0780617745163442
5.5   0.18466207464397   0.0860670847231488
6   0.193789688459006   0.0920710673782522
6.5   0.201306699233957   0.0980750500333556
7   0.207024841596272   0.104079032688459
7.5   0.211556851628425   0.108081687791861
8   0.2137357119892   0.114085670446965
8.5   0.215041566545394   0.118088325550367
9   0.214058695761298   0.122090980653769
9.5   0.211620336256735   0.12409230820547
10   0.208166328131702   0.128094963308873
10.5   0.205700054375166   0.130096290860574
11   0.197814161254338   0.134098945963976
11.5   0.189820391936839   0.136100273515677
12   0.179345726356026   0.138101601067378
12.5   0.168129390217511   0.138101601067378
13   0.155672577219182   0.138101601067378
13.5   0.140808720527559   0.138101601067378
14   0.126597486266021   0.138101601067378
14.5   0.106233534110525   0.134098945963976
15   0.0887012862582055   0.134098945963976
15.5   0.0703388483564006   0.130096290860574
16   0.0529149554963758   0.128094963308873
16.5   0.0344547984320767   0.126093635757171
17   0.0167339515357334   0.122090980653769
17.5   -0.0013156517875721   0.122090980653769
18   -0.0176768759907148   0.116086997998666
18.5   -0.0338584939298765   0.112084342895264
19   -0.0490743052426645   0.108081687791861
19.5   -0.0649798886321087   0.104079032688459
20   -0.0790294846815415   0.100076377585057
20.5   -0.079962139779215   0.0820644296197465
21   -0.0907532788487349   0.0800631020680454
21.5   -0.095904080005548   0.0760604469646431
22   -0.102281700381958   0.0760604469646431
22.5   -0.10568719249561   0.0780617745163442
23   -0.107876888322334   0.0820644296197465
23.5   -0.103879569845354   0.0820644296197465
24   -0.101651051776031   0.0940723949299533
24.5   -0.098227215378555   0.108081687791861
25   -0.0923878576862099   0.120089653102068
25.5   -0.0839511840708205   0.136100273515677
26   -0.0753675186564903   0.152110893929286
26.5   -0.0631554285198103   0.168121514342895
27   -0.0500122731582914   0.182130807204803
27.5   -0.0341305860198294   0.198141427618412
28   -0.0176079603379045   0.214152048032021
28.5   0.00162166424830206   0.23016266844563
29   0.0210320159388342   0.244171961307538
29.5   0.0444730331355623   0.260182581721147
30   0.066923109741057   0.272190547031354
30.5   0.0989604656591846   0.284198512341561
31   0.124392955170393   0.294205150100067
31.5   0.154480678031445   0.306213115410274
32   0.183408142360733   0.312217098065377
32.5   0.216272339158805   0.312217098065377
33   0.247547646341458   0.316219753168779
33.5   0.291386561334341   0.324225063375584
34   0.324372110151628   0.326226390927285
34.5   0.342144048280335   0.320222408272181
35   0.374536480429455   0.320222408272181
35.5   0.405725375143384   0.320222408272181
36   0.437949389308331   0.320222408272181
36.5   0.438377151476028   0.294205150100067
37   0.472235639113477   0.298207805203469
37.5   0.514552067314332   0.294205150100067
38   0.544989028239736   0.294205150100067
38.5   0.576252567304427   0.292203822548366
39   0.605118781531004   0.294205150100067
39.5   0.643080035515341   0.290202494996664
40   0.671798653480748   0.292203822548366
40.5   0.674236975937293   0.272190547031354
41   0.703443757208538   0.274191874583055
41.5   0.732527848285202   0.280195857238159
42   0.759434253464684   0.28219718478986
42.5   0.794358457208849   0.290202494996664
43   0.817756813285025   0.294205150100067
43.5   0.83151232320734   0.298207805203469
44   0.852446615955601   0.302210460306871
44.5   0.887158525305824   0.306213115410274
45   0.908154767810877   0.312217098065377
45.5   0.9200161470383   0.314218425617078
46   0.942757640691604   0.31822108072048
46.5   0.975442838364759   0.322223735823883
47   0.995145456303892   0.328227718478986
47.5   1.01852595986133   0.326226390927285
48   1.03891371018769   0.328227718478986
48.5   1.05863263120771   0.330229046030687
49   1.08078239456971   0.326226390927285
49.5   1.09953729994097   0.324225063375584
50   1.11873529560139   0.322223735823883
50.5   1.10992467295346   0.316219753168779
51   1.13189806736802   0.316219753168779
51.5   1.15853687702271   0.328227718478986
52   1.18137080782522   0.324225063375584
52.5   1.20761584389134   0.326226390927285
53   1.22799556640284   0.328227718478986
53.5   1.25566731895437   0.334231701134089
54   1.28127018810194   0.330229046030687
54.5   1.29686549483829   0.338234356237492
55   1.31744417600116   0.336233028685791
55.5   1.35628814935167   0.344238338892595
56   1.37921946472329   0.343237675116745
56.5   1.4259191924677   0.344238338892595
57   1.4475555518305   0.342237011340894
57.5   1.45520085369457   0.322223735823883
58   1.47028570520204   0.31822108072048
58.5   1.48394788049275   0.306213115410274
59   1.50398346813262   0.30020913275517
59.5   1.47248789623836   0.276193202134757
