# day   mean_magnitude      mean_magnitude_error
-9.5   0.331233521899784   0.0336337836591362
-9   0.26099987281672   0.0249489373113905
-8.5   0.179062334508073   0.0239186112847891
-8   0.0916798357901143   0.0201638017567688
-7.5   0.0263376126255776   0.0191403353846148
-7   -0.038021667062121   0.0150557665391351
-6.5   -0.0819633219358773   0.0142912840936527
-6   -0.114767495624413   0.0126459714259661
-5.5   -0.13914021117826   0.0124092707606068
-5   -0.153089704058419   0.0118297059767713
-4.5   -0.161659073487403   0.0109490193143808
-4   -0.15873194639171   0.00966875504465634
-3.5   -0.155727170129487   0.00883295075364493
-3   -0.147560338513385   0.0075313422675397
-2.5   -0.133130340764325   0.00654369683094633
-2   -0.115628963581662   0.00548043676811037
-1.5   -0.092319989859811   0.00428453662750665
-1   -0.0645240889244525   0.00296062240058572
-0.5   -0.0338476763114594   0.00152987337954548
0   -2.74158558793939e-09   1.13480983283549e-06
0.5   0.0363992848465022   0.00161618617087669
1   0.0754635646035786   0.00317764057902329
1.5   0.117235104873947   0.00502114791420034
2   0.161995543259177   0.00674230397904923
2.5   0.20861920791898   0.00842826739737002
3   0.259466487295926   0.0104534257546463
3.5   0.312749567514563   0.0121794720266021
4   0.369452372185021   0.0136674487276475
4.5   0.42945641952364   0.015954085452958
5   0.492377600404326   0.0180433651882753
5.5   0.559375627530951   0.0201558454495665
6   0.627893239870591   0.0216903504829369
6.5   0.702019096312112   0.0230957858274352
7   0.774362898191899   0.0248395738037738
7.5   0.848153280776802   0.0252535083880921
8   0.920875304342308   0.0264299190193109
8.5   0.994852050868026   0.0267755318329796
9   1.06560499397471   0.0279543856379149
9.5   1.13358368379304   0.0270745109071761
10   1.19919334166577   0.0272160167973175
10.5   1.26139068437604   0.026639668026688
11   1.31618004473264   0.0265930417053408
11.5   1.37550438630781   0.0266564053336892
12   1.41937808334291   0.0258014853925525
12.5   1.45685930972802   0.0247482038538702
13   1.48709048886628   0.0243030921246385
13.5   1.50856253700245   0.0244258811783705
14   1.52456700531392   0.0244378935733497
14.5   1.52885005229715   0.0240851150217086
15   1.52871071863743   0.024317815807177
15.5   1.52349465423196   0.0257766909159649
16   1.51343318943803   0.0264029331367791
16.5   1.49642910570697   0.0274163332471635
17   1.47766926543113   0.0280404452895177
17.5   1.45370712787793   0.0285914407079683
18   1.42900449333104   0.0288809315901811
18.5   1.40144545125152   0.029524499853731
19   1.37305889831192   0.0296278879323349
19.5   1.34261061633481   0.0312253165951421
20   1.31246117386439   0.0316457233616622
20.5   1.28799889812368   0.0320639853308301
21   1.26337309244271   0.0328710375047848
21.5   1.2399287638362   0.0326732372188643
22   1.22108920499332   0.0337709839922446
22.5   1.20115713511307   0.0336537982981488
23   1.18298716339189   0.0320941556046267
23.5   1.16535004621302   0.0326505237538321
24   1.15130566152323   0.0316690373845217
24.5   1.13683842432878   0.0310478698959638
25   1.12436916988331   0.0293796594017974
25.5   1.11754110069067   0.0279387716238649
26   1.10611970454197   0.0264241296221402
26.5   1.09811226170346   0.025890582961772
27   1.09085720562033   0.025137443908375
27.5   1.09182270378095   0.0233851896523328
28   1.08506901326746   0.0238087734445483
28.5   1.08676615232966   0.0247510689495225
29   1.08149055198704   0.0278524653173704
29.5   1.0837622973699   0.0310117520767462
30   1.08210237099125   0.0338328784848335
30.5   1.08548784696824   0.0382447906205414
31   1.08959759572671   0.0403304030809641
31.5   1.10113934085005   0.0450125455363233
32   1.11202006658103   0.0476443562822814
32.5   1.11570138930376   0.051096805688323
33   1.13395138521585   0.0543097920999229
33.5   1.15959775272432   0.0578211827879336
34   1.18644864072094   0.0594768854091266
34.5   1.19903992837839   0.0594989055014078
35   1.23176921878719   0.0628592178914982
35.5   1.26604004474875   0.0621718273209113
36   1.30499949505999   0.0653271317361805
36.5   1.33233781824325   0.0644240565528391
37   1.37758259911313   0.0647414157006121
37.5   1.42057001285369   0.0691398742435211
38   1.4641238940703   0.0679609173740214
38.5   1.51051386461013   0.068325176823614
39   1.55451125758852   0.0689009543353492
39.5   1.60141099097367   0.0676625520791357
40   1.64713931546949   0.0679175091880503
40.5   1.69084185396069   0.0679270308522651
41   1.73600048021578   0.0693319911087545
41.5   1.77748079222925   0.070304329739042
42   1.82004967382215   0.0706196877806637
42.5   1.88411515274997   0.0777354553309021
43   1.92245784364777   0.0764648542244864
43.5   1.95905744569774   0.0767691853589348
44   1.99204230031246   0.0766734389472903
44.5   2.02371494409131   0.0826656950435964
45   2.05535147956609   0.0808076298035416
45.5   2.05575779631036   0.0806136946874991
46   2.09111473445057   0.0807007848637556
46.5   2.12191473184456   0.0861471325501146
47   2.15285086412635   0.083264762044324
47.5   2.18950983216694   0.084892891256136
48   2.22212382498548   0.0845819944092746
48.5   2.25738533188357   0.0860099979817659
49   2.29278560248485   0.0859241699526414
49.5   2.31581781432872   0.0854259975691135
50   2.34699984138029   0.0837538074040351
50.5   2.31809546461001   0.0685076858531812
51   2.35516956656946   0.0688251478121491
51.5   2.38127480066772   0.0739170510805497
52   2.41449734424501   0.0751849339549222
52.5   2.44331306283356   0.0749480479748246
53   2.47590856743638   0.0744232312595449
53.5   2.5087051454228   0.0744784995309125
54   2.54666158176393   0.076244285500768
54.5   2.60226062433062   0.0790747286987565
55   2.64012679050514   0.0830076719701448
55.5   2.68972780920596   0.0863845317277837
56   2.72895102473252   0.0886631757575262
56.5   2.79618915537718   0.0931065087856491
57   2.83012798520589   0.0981322970914905
57.5   2.83060638067787   0.106648069748199
58   2.8539182196936   0.106804421978461
58.5   2.8738241681811   0.105660914668493
59   2.90256863359044   0.108187194336643
59.5   2.94393368669109   0.116807759302202
