# day   mean_magnitude      mean_magnitude_error
-9.5   0.217156595524307   0.0578944374014537
-9   0.151936045284443   0.034351137852994
-8.5   0.0792837158190632   0.0310646988414179
-8   -0.00660004861897748   0.0262041293505547
-7.5   -0.0637981780692408   0.0247214717990891
-7   -0.135452640702123   0.0228231254043691
-6.5   -0.173961988985582   0.0214030736461997
-6   -0.204159689313697   0.0180930041621633
-5.5   -0.225060505583189   0.0164178676044936
-5   -0.227521081913918   0.0158576789930243
-4.5   -0.232723942289371   0.0143020577447964
-4   -0.223733130463448   0.0117815604304925
-3.5   -0.214484316597043   0.0100873974570649
-3   -0.200482056765616   0.00832349839595425
-2.5   -0.178797508850365   0.00693087992126998
-2   -0.150906043013691   0.00533593641369472
-1.5   -0.118735484998758   0.00403023416955849
-1   -0.0819860328844273   0.00263098506210534
-0.5   -0.0423767593443003   0.00125454692179237
0   3.86324680524748e-08   1.56374236768973e-06
0.5   0.0443899450018201   0.00119987314814695
1   0.0901885452749537   0.00242573721264676
1.5   0.136812301817047   0.00353376235687927
2   0.18361096051738   0.00456688495175089
2.5   0.230017969069164   0.00587925771314131
3   0.275853622828725   0.00693823663730898
3.5   0.319478143779328   0.00803963607841698
4   0.362569709648568   0.00936119725285224
4.5   0.403138063995521   0.0103492038507562
5   0.441265749628763   0.0110817693859977
5.5   0.477018366987393   0.0120752019715872
6   0.509951937624288   0.0131139259011353
6.5   0.540594490301788   0.0140785048480257
7   0.567511600882777   0.014626843960764
7.5   0.591281918616049   0.0150177064412409
8   0.612019819337122   0.0159044544970811
8.5   0.634915054123235   0.0154978532349353
9   0.649530169473135   0.0160603325291425
9.5   0.662125751953015   0.0163037523807679
10   0.670250105690765   0.0171893396707601
10.5   0.674729390038207   0.0168248021134826
11   0.675907067173697   0.0173745637887644
11.5   0.6738317709998   0.018187175376908
12   0.665539629613317   0.0188980146982388
12.5   0.655116260273439   0.0195854687632807
13   0.6395755110365   0.0200000663917801
13.5   0.621041395662393   0.0205548730169439
14   0.59960637934043   0.0216108788450238
14.5   0.566354106832885   0.0220838179007509
15   0.539642832598378   0.0232320583812283
15.5   0.509521171504158   0.0228917447903425
16   0.477382708476511   0.0236952158139832
16.5   0.442970807662742   0.0249718355644294
17   0.408694900924115   0.0252342306541554
17.5   0.371586385034153   0.0261145002719659
18   0.335619321842937   0.0262468002340301
18.5   0.297388838230604   0.0266456447723825
19   0.261026021451033   0.0264972847267145
19.5   0.218353535445141   0.0268190704019652
20   0.182967891329727   0.0267968878512709
20.5   0.149475358655494   0.0288704816121698
21   0.11402086210932   0.0288796033131118
21.5   0.084365037068163   0.0282957085091326
22   0.0541388105544136   0.028449585085701
22.5   0.0197013176255861   0.0272390575848756
23   -0.00677817357116669   0.027207553462805
23.5   -0.0330890223400998   0.0269507545784966
24   -0.0561769543788804   0.0257192753097799
24.5   -0.0778343961444598   0.0249111455451366
25   -0.0954950817841797   0.0245008290139518
25.5   -0.108444336712258   0.0244105410013771
26   -0.122947894592426   0.0237229303318168
26.5   -0.133710422014771   0.023579834733263
27   -0.143582262538203   0.0235901900764657
27.5   -0.142314845445722   0.0249084685442401
28   -0.146887703118731   0.0262631531875985
28.5   -0.149172251410131   0.0285816741542385
29   -0.150663690371486   0.0309897321192152
29.5   -0.15032509863623   0.0337736078778892
30   -0.148845834495602   0.0382927841743355
30.5   -0.142092099193394   0.042771714621452
31   -0.13657761269876   0.04605862525628
31.5   -0.125525040684818   0.0501228295065662
32   -0.115406364293828   0.0525270655566128
32.5   -0.0992367214985535   0.0557981390840128
33   -0.082894380146262   0.0579402926176125
33.5   -0.0583183822354471   0.061566633153223
34   -0.0377264641334089   0.065249369462265
34.5   -0.0178885041127572   0.0690108773612428
35   0.00668962615686874   0.0703220320003786
35.5   0.0280791571196704   0.0715694123558882
36   0.0538540959575641   0.0748744260068482
36.5   0.0783596621003847   0.0745401461376277
37   0.105479951259082   0.0775564666240323
37.5   0.127727426157275   0.0762720089913576
38   0.155811061527418   0.0773945236263402
38.5   0.182865582103974   0.0787136070758345
39   0.208104423200598   0.0773511010636296
39.5   0.230282381160059   0.0816248925702928
40   0.255724818900792   0.0819081788782715
40.5   0.296153818074699   0.0837140682088475
41   0.324580129662529   0.0837445818953077
41.5   0.358569719505209   0.085295687096184
42   0.389636498750044   0.0861316754951517
42.5   0.440872344906959   0.0915959035911315
43   0.468741931926109   0.0900953758018343
43.5   0.479736055347119   0.0952522376794674
44   0.507029693593868   0.0936245030039163
44.5   0.53306995095487   0.0921872951074894
45   0.557088973138625   0.0914820780975494
45.5   0.584047101225687   0.0943043402739753
46   0.607600204604764   0.0910761864589281
46.5   0.60715724545355   0.089160907999477
47   0.633131888525801   0.0888529187829879
47.5   0.675937524367758   0.0949236837468423
48   0.698943501431418   0.0913358231341147
48.5   0.747577862154286   0.096881059985144
49   0.772750232516519   0.0958461467352453
49.5   0.797850981533411   0.0963544901393092
50   0.829178204695371   0.0967345171731676
50.5   0.821798905729867   0.0949621633378411
51   0.849801267914286   0.096819604737526
51.5   0.876099290878911   0.0973694018651108
52   0.905948819894664   0.0973190841585898
52.5   0.933742861548054   0.096672080101945
53   0.96430415323837   0.100109796804874
53.5   0.987806454941057   0.102072279152902
54   1.01533552312072   0.102413468133816
54.5   1.11014651875823   0.10281303079332
55   1.14615014691064   0.103257923617395
55.5   1.17121367691406   0.105591659136564
56   1.19899981028748   0.107331782757648
56.5   1.22546373350189   0.104059822694565
57   1.25597100163871   0.104457875715113
57.5   1.26372235311906   0.119654656695556
58   1.29313698529905   0.124094942138482
58.5   1.32536359574942   0.123513495045564
59   1.34680487855233   0.123094538215839
59.5   1.36778720781163   0.122038469835355
